CityTown;Population;Latitude;Longitude
Chelyabinsk, Akademika Koroleva, 8;309;55.164644;61.300209
Chelyabinsk, Akademika Koroleva, 9;262;55.162463;61.299256
Chelyabinsk, Akademika Makeeva, 11;40;55.16684;61.296373
Chelyabinsk, Akademika Makeeva, 15;60;55.166876;61.293202
Chelyabinsk, Akademika Makeeva, 17;173;55.166881;61.29224
Chelyabinsk, Akademika Makeeva, 21;108;55.16685;61.291145
Chelyabinsk, Akademika Makeeva, 25;325;55.16686;61.289285
Chelyabinsk, Akademika Makeeva, 27;59;55.166855;61.287695
Chelyabinsk, Akademika Makeeva, 29;60;55.166855;61.286626
Chelyabinsk, Akademika Makeeva, 7;861;55.166866;61.298044
Chelyabinsk, Akademika Sakharova, 1;102;55.159609;61.302068
Chelyabinsk, Akademika Sakharova, 10;106;55.160262;61.298106
Chelyabinsk, Akademika Sakharova, 11;1 423;55.159059;61.297981
Chelyabinsk, Akademika Sakharova, 12;624;55.160396;61.29737
Chelyabinsk, Akademika Sakharova, 14;145;55.160771;61.29737
Chelyabinsk, Akademika Sakharova, 16;83;55.160309;61.293768
Chelyabinsk, Akademika Sakharova, 18;225;55.16019;61.293013
Chelyabinsk, Akademika Sakharova, 2;181;55.160278;61.301242
Chelyabinsk, Akademika Sakharova, 20;204;55.16036;61.292384
Chelyabinsk, Akademika Sakharova, 22;231;55.160195;61.290579
Chelyabinsk, Akademika Sakharova, 26;87;55.16019;61.289258
Chelyabinsk, Akademika Sakharova, 28;489;55.160926;61.289743
Chelyabinsk, Akademika Sakharova, 30;36;55.160185;61.287839
Chelyabinsk, Akademika Sakharova, 32;124;55.160756;61.287821
Chelyabinsk, Akademika Sakharova, 34;41;55.160139;61.286716
Chelyabinsk, Aleksandra Shmakova, 10;282;55.205543;61.271471
Chelyabinsk, Aleksandra Shmakova, 15;978;55.207192;61.270043
Chelyabinsk, Aleksandra Shmakova, 16;750;55.207058;61.272513
Chelyabinsk, Aleksandra Shmakova, 17;191;55.207803;61.269738
Chelyabinsk, Aleksandra Shmakova, 18;150;55.207392;61.27369
Chelyabinsk, Aleksandra Shmakova, 19;177;55.207485;61.271238
Chelyabinsk, Aleksandra Shmakova, 21;163;55.208009;61.271849
Chelyabinsk, Aleksandra Shmakova, 23;346;55.208625;61.271534
Chelyabinsk, Aleksandra Shmakova, 24;98;55.210752;61.278469
Chelyabinsk, Aleksandra Shmakova, 26;170;55.211712;61.277778
Chelyabinsk, Aleksandra Shmakova, 27;161;55.208255;61.273035
Chelyabinsk, Aleksandra Shmakova, 29;250;55.208805;61.273654
Chelyabinsk, Aleksandra Shmakova, 31;183;55.209416;61.273331
Chelyabinsk, Aleksandra Shmakova, 38;77;55.214758;61.280347
Chelyabinsk, Anosova, 4;44;55.247667;61.405985
Chelyabinsk, Anosova, 6;63;55.247185;61.40488
Chelyabinsk, Anosova, 7;54;55.246507;61.405159
Chelyabinsk, Anoshkina, 10;1 276;55.193628;61.28527
Chelyabinsk, Anoshkina, 4;295;55.196017;61.282925
Chelyabinsk, Anoshkina, 6;181;55.195632;61.283419
Chelyabinsk, Anoshkina, 8;993;55.194881;61.284892
Chelyabinsk, Aralskaya, 193;167;55.234758;61.387085
Chelyabinsk, Aralskaya, 195;73;55.235005;61.386168
Chelyabinsk, Aralskaya, 212;160;55.236463;61.383473
Chelyabinsk, Aralskaya, 212a;90;55.237038;61.383285
Chelyabinsk, Aralskaya, 214;65;55.237202;61.382431
Chelyabinsk, Aralskaya, 214a;65;55.237782;61.382916
Chelyabinsk, Aralskaya, 243a;216;55.234384;61.386321
Chelyabinsk, Arzamasskaya 3-ya, 1;31;55.188987;61.461456
Chelyabinsk, Arzamasskaya 3-ya, 11;75;55.187851;61.456219
Chelyabinsk, Arzamasskaya 3-ya, 13;84;55.186674;61.456417
Chelyabinsk, Arzamasskaya 3-ya, 23;64;55.18412;61.45073
Chelyabinsk, Arzamasskaya 3-ya, 23a;112;55.18358;61.450721
Chelyabinsk, Arzamasskaya 3-ya, 27;98;55.183888;61.449509
Chelyabinsk, Arzamasskaya 3-ya, 28;91;55.18873;61.456776
Chelyabinsk, Arzamasskaya 3-ya, 3;162;55.188689;61.46045
Chelyabinsk, Arzamasskaya 3-ya, 30;61;55.18853;61.455788
Chelyabinsk, Arzamasskaya 3-ya, 33;226;55.183642;61.448251
Chelyabinsk, Arzamasskaya 3-ya, 5;93;55.188494;61.459354
Chelyabinsk, Arzamasskaya 3-ya, 7;42;55.188175;61.458671
Chelyabinsk, Arzamasskaya 3-ya, 9;118;55.188154;61.457809
Chelyabinsk, Armaturnyy pereulok, 10;31;55.122575;61.499024
